householdId,timestamp,reading
5,1730504189587,61.70
6,1730504189587,48.19
7,1730504189587,9.98
8,1730504189587,61.71
9,1730504189587,2.81
10,1730504189587,59.14
11,1730504189587,8.10
1,1730507789587,7.40
2,1730507789587,67.99
3,1730507789588,28.00
4,1730507789588,60.40
5,1730507789588,84.96
6,1730507789588,35.38
7,1730507789588,59.86
8,1730507789588,29.21
9,1730507789588,87.64
10,1730507789588,74.42
11,1730507789588,9.10
1,1730511389588,37.58
2,1730511389588,27.13
3,1730511389588,72.98
4,1730511389588,88.67
5,1730511389588,4.37
6,1730511389588,45.77
7,1730511389588,86.24
8,1730511389588,90.19
9,1730511389588,6.25
10,1730511389588,76.38
11,1730511389588,10.10
1,1730514989588,99.92
2,1730514989588,6.19
3,1730514989588,58.63
4,1730514989588,56.73
5,1730514989588,66.20
6,1730514989588,90.73
7,1730514989588,24.65
8,1730514989588,24.85
9,1730514989588,70.69
10,1730514989588,33.77
11,1730514989589,11.10
1,1730518589589,31.54
2,1730518589589,2.45
3,1730518589589,45.10
4,1730518589589,36.91
5,1730518589589,46.38
6,1730518589589,17.72
7,1730518589589,67.61
8,1730518589589,71.56
9,1730518589589,74.34
10,1730518589589,92.91
11,1730518589589,12.10
1,1730522189589,64.40
2,1730522189589,11.05
3,1730522189589,77.46
4,1730522189589,30.65
5,1730522189589,88.06
6,1730522189589,63.04
7,1730522189589,92.89
8,1730522189589,19.67
9,1730522189589,75.46
10,1730522189589,15.76
11,1730522189589,13.10
1,1730525789589,37.86
2,1730525789589,78.66
3,1730525789589,71.28
4,1730525789589,11.03
5,1730525789589,76.21
6,1730525789589,3.01
7,1730525789589,31.66
8,1730525789589,66.71
9,1730525789589,42.64
10,1730525789589,40.06
11,1730525789589,14.10
1,1730529389589,36.53
2,1730529389590,76.38
3,1730529389590,32.27
4,1730529389590,51.27
5,1730529389590,47.87
6,1730529389590,13.12
7,1730529389590,3.18
8,1730529389590,44.45
9,1730529389590,69.15
10,1730529389590,71.91
11,1730529389590,15.10
1,1730532989590,28.81
2,1730532989590,78.14
3,1730532989590,96.63
4,1730532989590,99.65
5,1730532989590,23.91
6,1730532989590,44.52
7,1730532989590,13.02
8,1730532989590,23.45
9,1730532989590,65.61
10,1730532989590,57.22
11,1730532989590,16.10
1,1730536589590,25.03
2,1730536589590,92.03
3,1730536589590,72.38
4,1730536589590,77.70
5,1730536589590,24.23
6,1730536589590,17.57
7,1730536589590,44.48
8,1730536589590,82.97
9,1730536589590,60.19
10,1730536589590,63.79
11,1730536589590,17.10
1,1730540189590,6.54
2,1730540189590,93.80
3,1730540189590,26.64
4,1730540189590,22.92
5,1730540189590,30.40
6,1730540189590,37.19
7,1730540189591,85.71
8,1730540189591,80.71
9,1730540189591,38.87
10,1730540189591,26.52
11,1730540189591,18.10
1,1730543789591,66.98
2,1730543789591,7.44
3,1730543789591,60.91
4,1730543789591,17.87
5,1730543789591,2.96
6,1730543789591,70.82
7,1730543789591,27.78
8,1730543789591,11.58
9,1730543789591,69.12
10,1730543789591,34.90
11,1730543789591,19.10
1,1730547389591,16.76
2,1730547389591,59.46
3,1730547389591,80.99
4,1730547389591,51.49
5,1730547389591,34.90
6,1730547389591,5.31
7,1730547389591,60.62
8,1730547389591,68.15
9,1730547389591,58.37
10,1730547389591,36.98
11,1730547389591,20.10
1,1730550989591,68.64
2,1730550989591,22.46
3,1730550989591,44.46
4,1730550989591,70.76
5,1730550989591,2.98
6,1730550989591,65.89
7,1730550989591,31.59
8,1730550989591,81.58
9,1730550989591,15.56
10,1730550989591,45.34
11,1730550989591,21.10
1,1730554589591,54.97
2,1730554589591,52.23
3,1730554589591,31.53
4,1730554589591,69.61
5,1730554589591,9.49
6,1730554589591,95.88
7,1730554589592,12.97
8,1730554589592,2.36
9,1730554589592,8.47
10,1730554589592,5.23
11,1730554589592,22.10
1,1730558189592,81.97
2,1730558189592,96.91
3,1730558189592,35.00
4,1730558189592,27.29
5,1730558189592,1.12
6,1730558189592,79.40
7,1730558189592,10.04
8,1730558189592,81.89
9,1730558189592,74.79
10,1730558189592,37.99
11,1730558189592,23.10
1,1730561789592,76.60
2,1730561789592,20.88
3,1730561789592,94.51
4,1730561789592,2.76
5,1730561789592,74.69
6,1730561789592,63.63
7,1730561789592,93.85
8,1730561789592,9.39
9,1730561789592,95.97
10,1730561789592,81.88
11,1730561789592,24.10
1,1730565389592,83.38
2,1730565389592,25.57
3,1730565389592,64.06
4,1730565389592,71.65
5,1730565389592,80.18
6,1730565389592,46.14
7,1730565389592,11.96
8,1730565389592,51.06
9,1730565389592,74.29
10,1730565389592,5.69
11,1730565389592,25.10
1,1730568989592,36.80
2,1730568989592,88.22
3,1730568989592,88.00
4,1730568989593,6.05
5,1730568989593,7.18
6,1730568989593,22.93
7,1730568989593,22.26
8,1730568989593,64.55
9,1730568989593,29.30
10,1730568989593,88.55
11,1730568989593,26.10
1,1730572589593,70.18
2,1730572589593,18.31
3,1730572589593,34.73
4,1730572589593,3.98
5,1730572589593,24.93
6,1730572589593,79.67
7,1730572589593,70.79
8,1730572589593,46.61
9,1730572589593,80.33
10,1730572589593,8.21
11,1730572589593,27.10
1,1730576189593,96.12
2,1730576189593,23.81
3,1730576189593,45.32
4,1730576189593,48.11
5,1730576189593,6.57
6,1730576189593,10.88
7,1730576189593,89.32
8,1730576189593,86.44
9,1730576189593,79.89
10,1730576189593,34.98
11,1730576189593,28.10
1,1730579789593,89.20
2,1730579789593,43.20
3,1730579789593,12.99
4,1730579789593,66.96
5,1730579789593,51.77
6,1730579789593,55.44
7,1730579789593,91.68
8,1730579789593,38.04
9,1730579789593,17.25
10,1730579789593,13.33
11,1730579789593,29.10
1,1730583389593,87.53
2,1730583389593,41.24
3,1730583389593,52.93
4,1730583389593,63.31
5,1730583389593,16.10
6,1730583389593,24.62
7,1730583389593,85.19
8,1730583389594,4.91
9,1730583389594,88.98
10,1730583389594,2.77
11,1730583389594,30.10
1,1730586989594,29.01
2,1730586989594,8.16
3,1730586989594,77.15
4,1730586989594,35.93
5,1730586989594,60.31
6,1730586989594,36.71
7,1730586989594,63.18
8,1730586989594,88.45
9,1730586989594,65.75
10,1730586989594,64.33
11,1730586989594,31.10
1,1730590589594,60.27
2,1730590589594,55.22
3,1730590589594,53.05
4,1730590589594,91.30
5,1730590589594,94.37
6,1730590589594,93.45
7,1730590589594,17.34
8,1730590589594,16.56
9,1730590589594,92.23
10,1730590589594,99.61
11,1730590589594,32.10
1,1730594189594,81.90
2,1730594189594,58.20
3,1730594189594,44.77
4,1730594189594,41.35
5,1730594189594,46.56
6,1730594189594,66.89
7,1730594189594,31.23
8,1730594189594,88.84
9,1730594189594,72.18
10,1730594189594,72.14
11,1730594189594,33.10
1,1730597789594,96.73
2,1730597789594,74.82
3,1730597789594,74.09
4,1730597789594,85.03
5,1730597789594,53.31
6,1730597789594,26.77
7,1730597789594,74.64
8,1730597789594,69.38
9,1730597789594,6.59
10,1730597789595,51.91
11,1730597789595,34.10
1,1730601389595,52.96
2,1730601389595,72.14
3,1730601389595,52.90
4,1730601389595,62.90
5,1730601389595,71.20
6,1730601389595,35.73
7,1730601389595,93.10
8,1730601389595,26.22
9,1730601389595,39.37
10,1730601389595,96.58
11,1730601389595,35.10
1,1730604989595,49.13
2,1730604989595,96.98
3,1730604989595,67.70
4,1730604989595,76.88
5,1730604989595,9.91
6,1730604989595,42.01
7,1730604989595,87.65
8,1730604989595,77.56
9,1730604989595,50.05
10,1730604989595,32.62
11,1730604989595,36.10
1,1730608589595,23.74
2,1730608589595,36.21
3,1730608589595,13.74
4,1730608589595,30.70
5,1730608589595,60.81
6,1730608589595,23.91
7,1730608589595,47.21
8,1730608589595,8.07
9,1730608589595,53.90
10,1730608589595,80.49
11,1730608589595,37.10
1,1730612189595,9.40
2,1730612189595,56.51
3,1730612189595,94.71
4,1730612189595,27.51
5,1730612189595,33.85
6,1730612189595,47.96
7,1730612189595,86.03
8,1730612189595,51.97
9,1730612189595,72.06
10,1730612189595,4.34
11,1730612189595,38.10
1,1730615789595,77.68
2,1730615789595,19.51
3,1730615789595,59.24
4,1730615789595,16.31
5,1730615789595,61.18
6,1730615789595,48.69
7,1730615789595,91.67
8,1730615789595,47.17
9,1730615789595,76.77
10,1730615789595,82.12
11,1730615789595,39.10
1,1730619389595,14.76
2,1730619389595,44.38
3,1730619389595,1.84
4,1730619389595,95.92
5,1730619389596,6.47
6,1730619389596,11.76
7,1730619389596,89.96
8,1730619389596,61.68
9,1730619389596,49.18
10,1730619389596,85.08
11,1730619389596,40.10
1,1730622989596,47.55
2,1730622989596,57.23
3,1730622989596,28.47
4,1730622989596,6.20
5,1730622989596,9.21
6,1730622989596,42.65
7,1730622989596,21.03
8,1730622989596,83.99
9,1730622989596,0.03
10,1730622989596,74.73
11,1730622989596,41.10
1,1730626589596,96.24
2,1730626589596,4.42
3,1730626589596,17.79
4,1730626589596,12.91
5,1730626589596,72.31
6,1730626589596,18.03
7,1730626589596,33.35
8,1730626589596,82.27
9,1730626589596,19.61
10,1730626589596,26.22
11,1730626589596,42.10
1,1730630189596,34.45
2,1730630189596,75.93
3,1730630189596,20.37
4,1730630189596,45.04
5,1730630189596,42.72
6,1730630189596,51.94
7,1730630189596,70.10
8,1730630189596,2.48
9,1730630189596,63.87
10,1730630189596,43.39
11,1730630189596,43.10
1,1730633789596,0.59
2,1730633789596,90.81
3,1730633789596,7.85
4,1730633789596,89.42
5,1730633789596,56.81
6,1730633789596,81.79
7,1730633789596,81.80
8,1730633789596,78.94
9,1730633789596,78.00
10,1730633789596,91.79
11,1730633789596,44.10
1,1730637389596,79.13
2,1730637389596,46.49
3,1730637389596,5.77
4,1730637389596,74.50
5,1730637389596,95.34
6,1730637389596,7.46
7,1730637389596,87.97
8,1730637389596,77.65
9,1730637389596,75.55
10,1730637389596,64.98
11,1730637389596,45.10
1,1730640989596,98.25
2,1730640989596,15.74
3,1730640989596,7.49
4,1730640989596,67.91
5,1730640989596,22.60
6,1730640989597,71.16
7,1730640989597,13.36
8,1730640989597,55.15
9,1730640989597,48.03
10,1730640989597,77.14
11,1730640989597,46.10
1,1730644589597,94.17
2,1730644589597,86.25
3,1730644589597,68.17
4,1730644589597,93.58
5,1730644589597,98.95
6,1730644589597,2.84
7,1730644589597,59.24
8,1730644589597,89.47
9,1730644589597,57.30
10,1730644589597,50.48
11,1730644589597,47.10
1,1730648189597,30.80
2,1730648189597,41.76
3,1730648189597,90.55
4,1730648189597,26.86
5,1730648189597,33.83
6,1730648189597,48.58
7,1730648189597,0.81
8,1730648189597,32.68
9,1730648189597,76.68
10,1730648189597,37.90
11,1730648189597,48.10
1,1730651789597,17.54
2,1730651789597,24.54
3,1730651789597,69.21
4,1730651789597,34.94
5,1730651789597,30.30
6,1730651789597,70.81
7,1730651789597,87.61
8,1730651789597,93.88
9,1730651789597,35.80
10,1730651789597,12.27
11,1730651789597,49.10
1,1730655389597,37.87
2,1730655389597,99.58
3,1730655389597,61.93
4,1730655389597,69.50
5,1730655389597,19.73
6,1730655389597,40.22
7,1730655389597,4.46
8,1730655389597,27.42
9,1730655389597,19.14
10,1730655389597,71.11
11,1730655389597,50.10
1,1730658989597,50.38
2,1730658989597,3.62
3,1730658989597,34.81
4,1730658989597,3.64
5,1730658989597,34.40
6,1730658989597,32.94
7,1730658989597,5.89
8,1730658989597,63.98
9,1730658989597,27.19
10,1730658989597,83.37
11,1730658989597,51.10
1,1730662589597,32.40
2,1730662589597,13.52
3,1730662589597,26.88
4,1730662589597,87.69
5,1730662589597,63.16
6,1730662589597,81.36
7,1730662589597,25.34
8,1730662589597,30.92
9,1730662589597,84.58
10,1730662589597,5.17
11,1730662589597,52.10
1,1730666189597,44.83
2,1730666189597,79.22
3,1730666189598,50.52
4,1730666189598,12.69
5,1730666189598,50.47
6,1730666189598,67.02
7,1730666189598,12.25
8,1730666189598,95.97
9,1730666189598,50.26
10,1730666189598,10.83
11,1730666189598,53.10
1,1730669789598,98.36
2,1730669789598,39.77
3,1730669789598,21.38
4,1730669789598,55.99
5,1730669789598,61.47
6,1730669789598,73.65
7,1730669789598,11.75
8,1730669789598,83.42
9,1730669789598,5.99
10,1730669789598,91.13
11,1730669789598,54.10
1,1730673389598,8.75
2,1730673389598,66.73
3,1730673389598,84.46
4,1730673389598,86.34
5,1730673389598,69.55
6,1730673389598,87.00
7,1730673389598,63.59
8,1730673389598,18.55
9,1730673389598,46.37
10,1730673389598,7.58
11,1730673389598,55.10
1,1730676989598,60.81
2,1730676989598,12.06
3,1730676989598,66.96
4,1730676989598,20.99
5,1730676989598,0.08
6,1730676989598,87.73
7,1730676989598,75.59
8,1730676989598,35.24
9,1730676989598,56.77
10,1730676989598,20.71
11,1730676989598,56.10
1,1730680589598,65.05
2,1730680589598,16.26
3,1730680589598,13.91
4,1730680589598,86.62
5,1730680589598,4.64
6,1730680589598,19.45
7,1730680589598,91.99
8,1730680589598,91.19
9,1730680589598,99.48
10,1730680589598,24.01
11,1730680589598,57.10
1,1730684189598,3.68
2,1730684189598,13.99
3,1730684189598,77.23
4,1730684189598,44.93
5,1730684189598,64.72
6,1730684189598,86.70
7,1730684189598,86.60
8,1730684189598,95.14
9,1730684189598,24.65
10,1730684189598,27.00
11,1730684189598,58.10
1,1730687789598,14.93
2,1730687789598,95.12
3,1730687789598,83.38
4,1730687789598,60.65
5,1730687789598,39.10
6,1730687789598,30.63
7,1730687789598,78.84
8,1730687789598,25.34
9,1730687789598,35.80
10,1730687789598,75.69
11,1730687789598,59.10
1,1730691389598,78.66
2,1730691389598,73.40
3,1730691389598,15.62
4,1730691389598,2.76
5,1730691389598,78.28
6,1730691389598,64.85
7,1730691389598,37.69
8,1730691389598,83.67
9,1730691389598,41.84
10,1730691389598,99.20
11,1730691389598,60.10
1,1730694989598,98.19
2,1730694989598,71.92
3,1730694989598,31.42
4,1730694989598,51.78
5,1730694989598,96.89
6,1730694989598,62.41
7,1730694989598,3.64
8,1730694989598,1.41
9,1730694989598,64.24
10,1730694989598,80.51
11,1730694989598,61.10
1,1730698589599,84.47
2,1730698589599,92.95
3,1730698589599,19.99
4,1730698589599,29.33
5,1730698589599,49.71
6,1730698589599,47.39
7,1730698589599,38.16
8,1730698589599,73.46
9,1730698589599,67.63
10,1730698589599,85.01
11,1730698589599,62.10
1,1730702189599,64.12
2,1730702189599,82.01
3,1730702189599,77.18
4,1730702189599,73.12
5,1730702189599,5.87
6,1730702189599,64.47
7,1730702189599,33.64
8,1730702189599,78.96
9,1730702189599,68.77
10,1730702189599,48.00
11,1730702189599,63.10
1,1730705789599,89.01
2,1730705789599,80.71
3,1730705789599,40.01
4,1730705789599,51.38
5,1730705789599,44.78
6,1730705789599,85.17
7,1730705789599,5.78
8,1730705789599,56.00
9,1730705789599,95.18
10,1730705789599,83.88
11,1730705789599,64.10
1,1730709389599,76.87
2,1730709389599,68.80
3,1730709389599,92.64
4,1730709389599,0.44
5,1730709389599,84.50
6,1730709389599,12.92
7,1730709389599,87.05
8,1730709389599,42.17
9,1730709389599,29.63
10,1730709389599,66.73
11,1730709389599,65.10
1,1730712989599,89.78
2,1730712989599,37.32
3,1730712989599,9.65
4,1730712989599,1.15
5,1730712989599,45.65
6,1730712989599,82.08
7,1730712989599,14.29
8,1730712989599,24.85
9,1730712989599,62.56
10,1730712989599,93.36
11,1730712989599,66.10
1,1730716589599,93.86
2,1730716589599,35.82
3,1730716589599,9.92
4,1730716589599,6.64
5,1730716589599,1.38
6,1730716589599,20.18
7,1730716589599,61.56
8,1730716589599,81.38
9,1730716589599,75.99
10,1730716589599,28.73
11,1730716589599,67.10
1,1730720189599,47.37
2,1730720189599,52.89
3,1730720189599,17.37
4,1730720189599,99.86
5,1730720189599,34.14
6,1730720189600,86.95
7,1730720189600,70.65
8,1730720189600,78.25
9,1730720189600,56.71
10,1730720189600,53.06
11,1730720189600,68.10
1,1730723789600,12.91
2,1730723789600,66.40
3,1730723789600,34.35
4,1730723789600,70.35
5,1730723789600,40.19
6,1730723789600,13.30
7,1730723789600,94.63
8,1730723789600,64.58
9,1730723789600,27.16
10,1730723789600,52.29
11,1730723789600,69.10
1,1730727389600,1.42
2,1730727389600,1.63
3,1730727389600,68.91
4,1730727389600,74.44
5,1730727389600,73.27
6,1730727389600,67.35
7,1730727389600,62.61
8,1730727389600,92.16
9,1730727389600,8.09
10,1730727389600,99.64
11,1730727389600,70.10
1,1730730989600,67.08
2,1730730989600,15.02
3,1730730989600,83.00
4,1730730989600,49.00
5,1730730989600,49.62
6,1730730989600,72.64
7,1730730989600,8.85
8,1730730989600,90.68
9,1730730989600,79.94
10,1730730989600,38.55
11,1730730989600,71.10
1,1730734589600,71.74
2,1730734589600,27.04
3,1730734589600,27.57
4,1730734589600,58.25
5,1730734589600,45.69
6,1730734589600,7.03
7,1730734589600,39.99
8,1730734589600,88.79
9,1730734589600,48.04
10,1730734589600,67.14
11,1730734589600,72.10
1,1730738189600,16.96
2,1730738189600,99.47
3,1730738189600,24.27
4,1730738189600,96.71
5,1730738189600,94.49
6,1730738189600,22.67
7,1730738189600,89.59
8,1730738189600,67.30
9,1730738189600,35.46
10,1730738189600,59.01
11,1730738189600,73.10
1,1730741789600,25.85
2,1730741789600,42.03
3,1730741789600,88.12
4,1730741789600,51.73
5,1730741789600,44.46
6,1730741789600,53.54
7,1730741789600,86.12
8,1730741789600,69.78
9,1730741789600,88.26
10,1730741789600,25.89
11,1730741789600,74.10
1,1730745389600,4.01
2,1730745389600,16.02
3,1730745389600,11.29
4,1730745389600,28.10
5,1730745389600,23.65
6,1730745389600,83.54
7,1730745389600,61.78
8,1730745389600,6.91
9,1730745389600,20.34
10,1730745389600,91.14
11,1730745389600,75.10
1,1730748989600,37.04
2,1730748989600,30.77
3,1730748989600,6.85
4,1730748989600,31.34
5,1730748989600,70.19
6,1730748989600,8.26
7,1730748989600,52.69
8,1730748989600,10.87
9,1730748989600,42.25
10,1730748989600,86.62
11,1730748989600,76.10
1,1730752589600,67.47
2,1730752589600,11.40
3,1730752589600,29.17
4,1730752589600,12.85
5,1730752589600,77.91
6,1730752589600,65.24
7,1730752589600,44.83
8,1730752589600,60.27
9,1730752589600,54.34
10,1730752589600,28.56
11,1730752589600,77.10
1,1730756189600,79.01
2,1730756189600,9.71
3,1730756189600,91.75
4,1730756189600,94.74
5,1730756189600,24.25
6,1730756189600,40.80
7,1730756189600,84.64
8,1730756189600,41.70
9,1730756189600,38.40
10,1730756189600,13.01
11,1730756189600,78.10
1,1730759789600,20.99
2,1730759789600,11.49
3,1730759789600,90.97
4,1730759789600,28.18
5,1730759789600,23.73
6,1730759789600,94.51
7,1730759789600,9.53
8,1730759789600,90.95
9,1730759789600,12.70
10,1730759789600,9.56
11,1730759789600,79.10
1,1730763389600,78.77
2,1730763389600,61.21
3,1730763389600,13.58
4,1730763389600,85.50
5,1730763389600,66.38
6,1730763389600,14.98
7,1730763389600,49.72
8,1730763389600,95.42
9,1730763389600,29.68
10,1730763389600,93.11
11,1730763389600,80.10
1,1730766989600,34.97
2,1730766989600,75.12
3,1730766989600,40.15
4,1730766989600,75.98
5,1730766989601,82.91
6,1730766989601,44.33
7,1730766989601,77.74
8,1730766989601,58.94
9,1730766989601,58.11
10,1730766989601,61.09
11,1730766989601,81.10
1,1730770589601,41.64
2,1730770589601,93.70
3,1730770589601,48.58
4,1730770589601,25.03
5,1730770589601,29.25
6,1730770589601,0.84
7,1730770589601,21.06
8,1730770589601,96.10
9,1730770589601,28.98
10,1730770589601,49.04
11,1730770589601,82.10
1,1730774189601,79.52
2,1730774189601,95.05
3,1730774189601,47.10
4,1730774189601,80.43
5,1730774189601,52.49
6,1730774189601,12.66
7,1730774189601,55.58
8,1730774189601,7.84
9,1730774189601,8.97
10,1730774189601,8.95
11,1730774189601,83.10
1,1730777789601,41.65
2,1730777789601,55.27
3,1730777789601,12.81
4,1730777789601,83.86
5,1730777789601,14.66
6,1730777789601,78.82
7,1730777789601,85.40
8,1730777789601,14.36
9,1730777789601,44.70
10,1730777789601,94.82
11,1730777789601,84.10
1,1730781389601,74.65
2,1730781389601,51.84
3,1730781389601,17.43
4,1730781389601,47.04
5,1730781389601,63.06
6,1730781389601,4.16
7,1730781389601,86.30
8,1730781389601,5.62
9,1730781389601,21.99
10,1730781389601,85.59
11,1730781389601,85.10
1,1730784989601,46.89
2,1730784989601,55.24
3,1730784989601,12.26
4,1730784989601,91.65
5,1730784989601,85.34
6,1730784989601,6.70
7,1730784989601,71.61
8,1730784989601,22.24
9,1730784989601,49.25
10,1730784989601,35.85
11,1730784989601,86.10
1,1730788589601,42.03
2,1730788589601,69.64
3,1730788589601,79.34
4,1730788589601,73.28
5,1730788589601,95.73
6,1730788589601,77.83
7,1730788589601,32.09
8,1730788589601,52.45
9,1730788589601,3.21
10,1730788589601,83.89
11,1730788589601,87.10
1,1730792189601,91.42
2,1730792189601,50.31
3,1730792189601,63.99
4,1730792189601,31.51
5,1730792189601,72.68
6,1730792189601,51.64
7,1730792189601,6.50
8,1730792189601,97.48
9,1730792189601,32.39
10,1730792189601,93.31
11,1730792189601,88.10
1,1730795789601,3.50
2,1730795789601,67.16
3,1730795789601,53.53
4,1730795789601,28.40
5,1730795789601,81.08
6,1730795789601,66.73
7,1730795789601,28.85
8,1730795789601,55.50
9,1730795789601,0.35
10,1730795789601,83.69
11,1730795789601,89.10
1,1730799389601,67.58
2,1730799389601,71.24
3,1730799389601,55.06
4,1730799389601,1.26
5,1730799389601,39.83
6,1730799389601,99.26
7,1730799389601,11.32
8,1730799389601,94.30
9,1730799389601,9.59
10,1730799389601,5.58
11,1730799389601,90.10
1,1730802989601,69.98
2,1730802989601,19.57
3,1730802989601,71.62
4,1730802989601,50.06
5,1730802989601,97.79
6,1730802989601,69.48
7,1730802989601,9.45
8,1730802989601,54.59
9,1730802989601,46.01
10,1730802989601,73.17
11,1730802989601,91.10
1,1730806589601,62.23
2,1730806589601,95.67
3,1730806589601,96.14
4,1730806589601,91.46
5,1730806589601,28.22
6,1730806589601,44.93
7,1730806589601,91.89
8,1730806589601,15.73
9,1730806589601,19.86
10,1730806589601,31.44
11,1730806589601,92.10
1,1730810189601,78.95
2,1730810189601,85.41
3,1730810189601,36.77
4,1730810189601,59.66
5,1730810189601,8.40
6,1730810189601,87.67
7,1730810189601,14.04
8,1730810189601,26.50
9,1730810189601,17.30
10,1730810189601,20.94
11,1730810189601,93.10
1,1730813789601,98.94
2,1730813789601,77.19
3,1730813789601,5.92
4,1730813789601,11.22
5,1730813789601,16.31
6,1730813789602,81.79
7,1730813789602,49.40
8,1730813789602,92.59
9,1730813789602,40.65
10,1730813789602,51.59
11,1730813789602,94.10
1,1730817389602,86.77
2,1730817389602,30.77
3,1730817389602,76.04
4,1730817389602,57.36
5,1730817389602,47.21
6,1730817389602,1.43
7,1730817389602,28.28
8,1730817389602,70.89
9,1730817389602,99.12
10,1730817389602,30.52
11,1730817389602,95.10
1,1730820989602,38.54
2,1730820989602,83.82
3,1730820989602,76.34
4,1730820989602,48.51
5,1730820989602,86.23
6,1730820989602,3.83
7,1730820989602,32.66
8,1730820989602,20.75
9,1730820989602,13.96
10,1730820989602,31.59
11,1730820989602,96.10
1,1730824589602,93.42
2,1730824589602,36.24
3,1730824589602,27.60
4,1730824589602,90.56
5,1730824589602,67.19
6,1730824589602,63.89
7,1730824589602,38.09
8,1730824589602,96.81
9,1730824589602,8.60
10,1730824589602,44.08
11,1730824589602,97.10
1,1730828189602,81.59
2,1730828189602,68.53
3,1730828189602,23.77
4,1730828189602,38.27
5,1730828189602,15.72
6,1730828189602,94.20
7,1730828189602,65.04
8,1730828189602,5.40
9,1730828189602,48.44
10,1730828189602,89.35
11,1730828189602,98.10
1,1730831789602,60.70
2,1730831789602,70.76
3,1730831789602,21.90
4,1730831789602,74.00
5,1730831789602,62.65
6,1730831789602,64.74
7,1730831789602,12.70
8,1730831789602,53.58
9,1730831789602,76.29
10,1730831789602,7.55
11,1730831789602,99.10
1,1730835389602,68.54
2,1730835389602,25.34
3,1730835389602,20.67
4,1730835389602,10.86
5,1730835389602,40.80
6,1730835389602,19.46
7,1730835389602,41.71
8,1730835389602,53.90
9,1730835389602,77.10
10,1730835389602,69.86
11,1730835389602,100.10
1,1730838989602,93.13
2,1730838989602,92.47
3,1730838989602,36.92
4,1730838989602,89.87
5,1730838989602,90.22
6,1730838989602,86.62
7,1730838989602,24.12
8,1730838989602,39.28
9,1730838989602,29.65
10,1730838989602,79.10
11,1730838989602,101.10
1,1730842589602,81.83
2,1730842589602,86.13
3,1730842589602,29.18
4,1730842589602,34.32
5,1730842589602,4.74
6,1730842589602,74.80
7,1730842589602,1.71
8,1730842589602,93.98
9,1730842589602,86.98
10,1730842589602,9.94
11,1730842589602,102.10
1,1730846189602,43.97
2,1730846189602,7.88
3,1730846189602,39.28
4,1730846189602,89.32
5,1730846189602,89.66
6,1730846189602,13.35
7,1730846189602,52.44
8,1730846189602,40.60
9,1730846189602,77.53
10,1730846189602,55.18
11,1730846189602,103.10
1,1730849789602,75.93
2,1730849789602,93.53
3,1730849789602,62.37
4,1730849789602,49.28
5,1730849789602,68.58
6,1730849789602,46.38
7,1730849789602,12.78
8,1730849789602,38.50
9,1730849789602,33.87
10,1730849789602,15.38
11,1730849789602,104.10
1,1730853389602,20.91
2,1730853389602,15.09
3,1730853389602,19.67
4,1730853389602,11.79
5,1730853389602,56.09
6,1730853389602,65.63
7,1730853389602,83.11
8,1730853389602,10.32
9,1730853389602,16.25
